,tenure,OnlineSecurity,Contract,MonthlyCharges,TotalCharges
6685,45.0,0,0,50.25,1601
5087,2.0,1,0,20.35,2927
5222,8.0,2,0,65.5,3954
6313,2.0,0,0,95.85,1361
2320,63.0,2,2,89.4,3873
2015,28.0,0,0,49.9,656
1375,39.0,1,2,19.85,5183
4993,72.0,2,2,65.65,3313
2145,11.0,0,0,72.9,5077
1996,67.0,2,2,67.85,3292
4772,69.0,0,1,59.1,2956
2088,36.0,0,1,55.8,1339
1571,1.0,1,0,20.05,1391
93,65.0,2,0,111.05,4654
2092,72.0,2,2,79.55,4004
1591,17.0,1,0,21.1,2774
3582,3.0,0,0,80.5,1680
3410,3.0,0,0,53.4,1255
3976,4.0,0,0,24.45,5200
6460,44.0,0,0,100.55,3130
2371,1.0,1,0,25.7,1848
1028,26.0,0,0,83.75,1468
5129,13.0,0,0,81.9,54
6213,19.0,1,2,20.15,2783
3865,1.0,1,0,24.0,1744
299,1.0,2,0,73.6,4725
118,41.0,1,2,20.65,5132
2677,4.0,0,0,70.05,1981
2451,28.0,2,1,106.1,2099
4066,56.0,2,1,64.65,2668
5710,70.0,0,2,110.5,4905
2818,29.0,2,0,94.65,1966
5614,68.0,2,1,85.5,3928
1227,30.0,2,1,90.4,2084
2564,18.0,0,1,82.0,689
5512,9.0,0,0,55.3,3558
4194,71.0,1,2,25.95,1172
5450,1.0,0,0,84.65,5147
1178,15.0,0,0,101.35,868
4474,57.0,0,2,53.35,2275
6513,15.0,0,0,59.65,5214
1798,35.0,1,1,26.2,5383
4011,23.0,1,2,19.65,3221
527,58.0,0,1,94.7,3777
2343,3.0,0,0,46.1,480
2132,23.0,1,1,19.65,3107
6760,4.0,2,0,49.4,1206
3021,5.0,1,0,19.95,118
2258,56.0,2,1,52.7,2217
3489,26.0,2,1,90.1,1674
3483,18.0,0,0,77.8,570
1269,62.0,2,2,115.55,4677
3029,23.0,0,1,48.35,114
5915,69.0,1,2,19.1,435
1146,29.0,2,1,35.6,128
6431,17.0,1,2,19.15,2509
4388,17.0,1,2,19.4,2616
791,68.0,2,1,76.9,3566
3030,1.0,0,0,79.55,4970
631,46.0,2,0,55.0,1822
6593,55.0,0,0,54.55,2177
532,2.0,0,0,79.95,1093
2747,7.0,1,0,19.4,1021
4838,67.0,0,1,109.7,4742
1905,41.0,1,1,24.85,5398
5787,36.0,0,0,87.55,2261
2118,22.0,0,0,80.15,1154
936,0.0,2,2,80.85,0
1792,42.0,2,0,69.4,2250
1278,36.0,2,1,60.7,1611
6588,23.0,1,2,23.85,4236
3387,7.0,1,0,20.65,864
3546,71.0,2,2,83.2,4182
2832,40.0,0,1,70.75,2143
752,7.0,2,0,71.35,3632
2673,22.0,2,0,101.35,1677
2595,71.0,0,2,80.45,3915
1312,48.0,2,1,70.95,2648
3748,48.0,0,2,78.9,2724
3477,18.0,0,0,74.15,554
6954,15.0,1,0,19.8,2274
811,70.0,2,2,104.0,4703
5426,51.0,0,2,75.2,2815
5640,1.0,0,0,79.6,4971
6072,13.0,1,0,18.8,1856
6011,37.0,1,0,19.35,4505
2283,1.0,0,0,71.55,4650
6087,26.0,0,1,39.95,43
2004,24.0,0,0,89.85,1537
2403,71.0,2,1,84.8,4136
98,52.0,1,2,21.0,181
4187,36.0,1,2,20.25,4683
5064,2.0,0,0,40.4,4884
3354,54.0,2,1,44.1,1721
5944,12.0,2,0,56.65,4368
4441,42.0,1,2,20.25,5133
3707,69.0,1,2,19.9,568
2012,47.0,2,0,98.75,3241
2536,25.0,1,1,25.3,4472
2855,42.0,1,2,19.35,5215
3607,13.0,2,1,55.15,4781
1237,13.0,1,1,19.45,2012
1261,2.0,2,0,80.15,1336
4298,10.0,0,0,46.0,3499
1021,28.0,2,1,54.35,691
3977,63.0,2,2,110.1,4448
1999,23.0,0,0,74.95,1058
122,3.0,0,0,74.4,1663
3533,10.0,1,1,19.8,1369
6390,70.0,0,1,106.15,4799
3905,3.0,0,0,35.2,143
4636,44.0,1,1,20.0,5201
1462,36.0,1,1,20.0,4424
778,59.0,2,1,107.0,4196
1718,17.0,1,1,19.9,2373
713,14.0,2,0,86.0,272
686,51.0,1,1,24.6,430
1625,9.0,0,0,75.75,4374
3594,9.0,0,0,40.75,2625
70,1.0,0,0,49.05,3469
6568,8.0,1,2,19.7,481
3856,61.0,0,0,114.1,4669
6084,36.0,0,0,95.0,2517
920,60.0,1,1,24.15,805
5052,18.0,0,0,45.65,4796
2194,1.0,0,0,79.5,4969
1788,57.0,1,2,19.6,237
2141,16.0,1,0,20.15,2494
239,16.0,1,2,19.75,2096
3793,9.0,1,0,20.25,1233
5456,13.0,0,0,31.05,2532
6274,57.0,0,1,86.9,3508
991,58.0,1,2,24.35,683
4860,13.0,2,2,40.55,4049
777,2.0,0,0,82.0,1207
6494,26.0,0,0,29.8,4949
5291,68.0,0,1,86.45,3978
4809,1.0,1,0,20.3,1396
4719,36.0,0,0,84.9,2254
2259,8.0,1,2,20.85,932
2100,69.0,0,1,99.5,4513
803,46.0,0,2,64.2,2207
5199,51.0,0,1,111.5,3933
6781,3.0,0,0,69.65,1571
5734,72.0,2,2,89.4,4300
2361,1.0,0,0,45.95,3212
4642,65.0,2,2,74.8,3419
151,7.0,0,0,95.0,4372
6382,38.0,2,1,74.05,2077
2820,53.0,1,1,24.05,488
4754,68.0,1,2,25.25,1077
5651,42.0,0,0,84.3,2624
5962,16.0,2,0,80.75,514
1500,37.0,0,0,40.2,769
4819,53.0,1,2,19.75,88
3966,72.0,2,2,107.7,4982
2685,72.0,2,2,100.65,4739
6771,31.0,1,0,20.65,4620
165,69.0,1,2,19.9,579
3983,1.0,0,0,24.25,1747
3726,16.0,0,0,89.05,729
3249,10.0,0,0,55.55,3827
2793,4.0,2,0,80.1,2460
5194,22.0,0,0,89.4,1412
2561,71.0,2,2,99.0,4635
647,50.0,0,1,69.65,2518
84,49.0,1,2,20.15,5414
4303,45.0,1,2,25.5,210
6132,67.0,0,0,53.4,2615
4080,29.0,1,2,26.1,4567
3896,38.0,1,1,20.3,4802
4416,17.0,0,0,75.4,515
4208,69.0,0,1,60.8,3044
1473,24.0,0,0,98.75,1760
153,62.0,2,2,86.1,3664
3032,17.0,1,2,19.45,2682
4650,37.0,1,0,26.45,5293
3974,37.0,2,1,79.25,2138
5643,1.0,0,0,75.9,4814
1472,13.0,0,0,74.4,5264
714,72.0,1,2,25.4,1059
5622,23.0,0,0,104.05,1820
692,47.0,1,1,20.55,27
1066,47.0,1,2,19.65,5412
5328,55.0,2,1,66.05,2529
1695,54.0,0,1,70.7,2723
5283,19.0,0,0,48.8,5382
2190,71.0,0,2,84.2,4080
5416,57.0,0,1,95.0,3843
7036,12.0,0,1,60.65,4784
889,63.0,2,0,100.55,4221
4654,42.0,1,1,19.05,4856
6153,60.0,1,2,20.95,441
854,68.0,1,2,20.5,688
759,72.0,2,2,90.35,4379
3293,5.0,0,0,64.0,2690
4803,38.0,2,0,91.7,2543
6452,15.0,2,0,87.75,393
3419,69.0,0,2,92.15,4342
4548,22.0,0,0,84.3,1227
5287,1.0,1,0,20.55,1401
409,1.0,1,0,19.6,1284
6440,32.0,0,0,101.35,2445
4549,17.0,0,0,92.7,872
350,37.0,2,2,62.8,1651
6064,1.0,0,0,45.3,3202
4884,41.0,0,0,94.9,2771
1659,68.0,0,2,70.8,3439
1859,52.0,0,0,85.35,3093
3471,35.0,1,1,21.1,4776
2102,18.0,0,0,80.55,649
3505,9.0,0,0,24.95,1294
2144,3.0,0,0,50.5,762
4427,49.0,0,2,100.65,3495
3438,18.0,0,0,94.7,1032
4117,63.0,2,2,99.7,4280
1163,12.0,0,0,89.75,89
5532,31.0,1,2,20.9,4539
6786,11.0,2,0,48.55,3557
377,25.0,0,0,104.95,1906
4418,58.0,2,1,60.3,2604
3871,3.0,0,0,101.55,2181
380,41.0,0,1,86.2,2447
90,30.0,0,0,82.05,1912
5690,72.0,2,2,61.2,3126
907,19.0,0,1,65.35,377
2407,2.0,0,0,70.7,652
6315,48.0,2,2,70.1,2380
2340,48.0,2,1,45.0,1566
4162,72.0,2,2,65.7,3265
3501,59.0,2,2,76.45,3226
2300,48.0,2,1,103.25,3577
190,43.0,2,1,71.9,2335
934,12.0,2,1,33.6,3103
6475,19.0,2,0,75.9,595
4764,2.0,0,0,45.15,5423
6426,41.0,0,1,50.05,1439
2370,69.0,2,2,112.55,4931
209,64.0,0,1,102.45,4422
5558,72.0,2,2,116.4,5185
478,5.0,0,0,96.1,3238
2220,72.0,2,2,79.35,3971
1060,26.0,1,1,20.05,3585
2007,2.0,0,0,80.2,1175
4594,21.0,0,0,102.8,1506
3371,11.0,1,0,19.25,1168
480,11.0,1,2,19.65,1629
4357,15.0,1,0,20.45,2424
1574,15.0,1,1,19.65,2013
4399,66.0,2,0,103.1,4396
1742,2.0,0,0,87.15,1194
4601,45.0,0,0,103.65,3371
4889,47.0,2,1,113.45,3727
5670,17.0,1,0,24.1,2922
2218,71.0,2,2,82.0,4107
4369,3.0,0,0,24.75,4399
5374,10.0,0,0,74.75,5003
4046,44.0,0,0,50.15,1516
1041,16.0,1,1,19.3,2631
2957,4.0,0,0,80.3,2382
1450,8.0,1,0,19.35,824
218,65.0,0,2,84.2,3729
2249,11.0,0,0,70.5,5106
1141,6.0,1,0,20.2,5422
3727,3.0,0,0,96.6,2136
64,9.0,0,0,94.4,5193
1534,69.0,1,2,19.8,704
1342,8.0,1,2,20.0,654
4672,13.0,0,0,44.0,4391
3355,68.0,0,2,90.2,4255
2717,72.0,2,2,92.65,4459
5990,36.0,0,0,94.7,2573
3663,9.0,0,0,88.4,4955
1262,12.0,0,0,51.25,4179
2605,13.0,1,2,20.4,1939
383,1.0,0,0,90.85,5275
4414,21.0,1,0,20.75,3227
1793,72.0,1,2,24.75,1125
365,5.0,0,0,96.5,3500
2867,24.0,1,1,20.45,3694
2851,64.0,2,2,90.6,4009
5580,48.0,1,1,19.95,10
6500,21.0,2,2,35.1,4887
3288,13.0,1,2,20.85,2023
6955,12.0,0,0,45.05,3672
3465,4.0,0,0,45.9,1380
4791,3.0,1,0,20.0,3473
6768,72.0,2,2,117.5,5216
6049,47.0,1,2,20.05,31
3053,65.0,0,2,104.1,4446
2627,33.0,1,2,25.7,5099
3069,10.0,1,0,20.55,1244
4350,33.0,0,0,44.55,752
6160,36.0,2,1,89.65,2452
2154,24.0,1,2,19.75,3530
3541,49.0,2,0,40.65,1469
2593,62.0,1,2,20.3,472
6424,72.0,0,2,54.2,2830
324,69.0,2,2,60.05,2990
641,43.0,0,0,56.15,1839
5166,61.0,2,1,104.0,4291
125,33.0,2,2,88.95,2228
3384,4.0,0,0,73.75,2392
919,21.0,0,1,104.55,1616
2382,29.0,2,1,39.5,147
6735,71.0,2,2,87.25,4276
1675,29.0,0,0,78.9,1733
4600,56.0,2,2,115.85,4381
2252,64.0,1,1,19.8,536
3895,56.0,1,2,24.15,644
1408,71.0,2,1,104.1,4780
5118,42.0,0,0,85.9,2706
4436,19.0,2,0,60.6,475
5763,3.0,0,0,70.25,1665
1747,3.0,0,0,84.75,1962
465,70.0,0,2,40.05,2072
3565,1.0,0,0,50.75,3551
3366,31.0,0,1,93.8,2155
4984,42.0,2,0,59.65,1877
5447,3.0,0,0,44.75,770
5995,72.0,2,2,111.95,5025
1168,1.0,1,1,19.65,1285
2572,71.0,1,2,25.0,1111
19,21.0,0,0,90.05,1237
286,20.0,0,0,44.35,5322
4878,31.0,0,0,59.05,1258
829,34.0,0,0,44.85,719
274,1.0,0,0,70.6,4604
5885,23.0,1,1,24.35,3751
4591,10.0,1,0,21.2,1600
2464,1.0,0,0,77.15,4884
2891,1.0,0,0,79.7,4973
5147,28.0,0,0,30.1,5051
736,30.0,0,1,110.45,2440
3349,11.0,0,0,99.5,93
5958,11.0,0,0,55.05,4154
4464,12.0,2,0,81.7,5196
3978,3.0,0,0,90.7,1724
6911,57.0,1,2,20.1,154
959,32.0,0,0,86.1,2028
2667,72.0,2,2,115.05,5151
1247,24.0,0,1,83.15,1444
1949,67.0,2,2,104.6,4535
7020,12.0,1,0,19.2,1736
4746,2.0,0,0,76.5,947
3668,22.0,2,1,59.75,592
1814,12.0,1,2,19.7,1915
4747,35.0,1,1,20.6,4824
6830,35.0,1,2,20.2,4508
2256,15.0,2,1,65.6,23
2128,41.0,2,0,74.55,2223
5271,13.0,0,0,66.4,5118
6502,44.0,2,0,56.25,1767
1936,51.0,2,1,60.5,2317
656,68.0,2,2,88.85,4187
413,51.0,0,0,87.35,3185
6361,7.0,0,0,62.8,2995
3137,41.0,0,1,109.1,3175
4683,24.0,0,0,94.1,1685
6280,23.0,0,1,49.45,205
272,1.0,0,0,24.8,1753
6640,28.0,2,1,50.8,611
6017,5.0,0,0,56.15,2135
458,2.0,1,0,20.0,2739
5125,11.0,0,0,94.0,135
5599,9.0,0,0,94.85,5256
4344,68.0,0,2,80.65,3734
1293,67.0,0,2,111.2,4820
4750,9.0,2,1,39.55,2707
938,65.0,0,1,108.05,4661
5472,24.0,2,0,81.0,1318
4304,49.0,1,1,19.0,5304
1736,1.0,1,0,19.5,1282
4034,8.0,0,0,44.65,2684
4222,45.0,2,1,112.2,3573
268,59.0,1,2,19.35,175
1957,46.0,2,0,53.1,1806
2376,11.0,0,1,61.25,4718
2077,1.0,0,0,71.35,4649
5042,19.0,1,1,19.8,2516
5307,1.0,0,0,90.1,5270
3430,53.0,2,1,95.95,3576
6400,72.0,2,2,59.75,3049
2059,37.0,0,0,92.95,2499
3543,72.0,2,2,105.6,4845
3468,1.0,1,0,19.7,1286
240,72.0,0,2,86.6,4289
5914,25.0,2,0,54.3,473
6342,47.0,0,0,104.1,3624
1842,45.0,2,0,75.95,2406
4603,3.0,2,0,35.1,19
5508,70.0,1,2,25.15,1338
1298,24.0,2,1,57.6,580
6870,49.0,0,0,74.6,2702
1095,1.0,0,0,80.55,5014
5942,9.0,0,0,48.75,3153
4836,25.0,2,0,78.35,1201
4018,7.0,2,1,69.45,3386
715,46.0,2,0,89.15,3036
4880,50.0,1,2,20.55,115
4137,12.0,1,0,20.1,1681
2288,5.0,0,0,85.3,3011
2486,28.0,0,1,90.45,1854
171,2.0,0,0,104.4,1771
5834,65.0,2,0,105.05,4565
2638,52.0,0,1,105.0,3774
2816,72.0,2,2,109.55,5072
1399,14.0,1,1,19.55,2157
5254,70.0,2,2,114.75,4938
2903,12.0,0,0,35.5,3081
6243,72.0,2,2,83.6,4083
588,72.0,2,2,99.15,4782
5521,59.0,0,0,64.65,2709
6594,14.0,1,0,20.05,2190
5861,35.0,1,2,19.25,4474
750,27.0,2,0,56.7,986
4632,1.0,1,0,19.45,1281
5563,4.0,1,0,20.15,5145
570,60.0,1,2,19.25,179
6921,54.0,0,0,79.85,3074
5509,5.0,0,0,46.0,1592
657,45.0,2,1,78.8,2628
2899,71.0,2,2,53.95,2799
2260,3.0,0,0,80.1,1545
2550,56.0,1,2,20.05,162
6012,5.0,0,0,83.6,2899
3041,1.0,0,0,49.9,3478
3630,4.0,1,0,20.95,5173
1431,43.0,0,1,64.85,2133
5907,1.0,0,0,44.3,3137
572,11.0,0,1,64.9,4582
6309,71.0,1,2,25.6,1263
3416,12.0,2,0,69.85,5135
5918,59.0,1,2,19.5,251
6679,60.0,2,2,37.7,1659
1920,22.0,1,0,20.45,3349
4723,1.0,0,0,74.35,4765
1958,24.0,0,0,84.85,1454
5094,65.0,2,1,89.85,4020
5033,1.0,1,0,19.4,1280
4353,1.0,0,0,74.9,4769
1538,8.0,0,0,100.85,5080
6970,4.0,0,0,74.35,1968
1225,16.0,0,0,49.95,5048
6774,1.0,1,0,19.65,1285
4899,4.0,0,0,84.05,2441
3229,12.0,0,0,94.2,76
1797,30.0,1,2,19.4,3986
235,2.0,0,0,54.4,242
5505,12.0,0,1,30.25,2675
6351,50.0,0,0,103.7,3596
5878,3.0,1,1,21.2,3650
2771,13.0,2,0,63.15,5070
5949,68.0,0,0,44.95,2266
6241,3.0,0,0,49.15,1035
1632,48.0,0,1,106.1,3599
4587,26.0,0,0,85.9,1567
4130,10.0,0,0,36.25,2711
6695,71.0,2,2,71.1,3669
6175,32.0,2,1,90.8,2225
1573,47.0,2,1,96.1,3128
6222,66.0,0,0,89.4,4095
5671,61.0,1,2,25.3,870
5895,39.0,0,0,59.85,1697
6664,36.0,0,1,104.8,2796
3059,64.0,1,2,24.05,875
6120,6.0,0,0,59.45,2610
4795,53.0,1,1,20.8,39
468,44.0,1,2,19.9,5218
4589,10.0,1,2,20.15,1578
1402,18.0,0,0,35.0,3841
4904,33.0,0,0,107.55,2657
4005,1.0,1,0,24.05,1745
2707,3.0,0,0,98.7,2149
2780,25.0,2,1,74.3,1238
3921,24.0,2,0,66.3,878
4062,1.0,0,0,70.5,4603
6922,3.0,0,0,74.45,1590
234,29.0,1,0,25.15,4619
2807,7.0,1,1,19.45,575
136,23.0,2,0,75.0,1132
217,66.0,2,2,56.6,2735
3838,26.0,0,0,100.5,1928
4383,63.0,2,1,80.0,3581
1941,3.0,0,0,54.65,1267
1658,50.0,2,0,105.95,3738
5602,6.0,2,2,80.25,3506
3400,18.0,0,0,84.3,847
6136,46.0,1,2,20.25,5254
6853,54.0,0,0,111.1,4120
4667,20.0,1,0,19.25,2713
3597,25.0,0,0,95.7,1694
1418,67.0,0,0,89.55,4297
6196,69.0,2,2,110.05,4787
601,2.0,1,1,19.95,3340
6709,50.0,0,1,99.4,3587
5244,45.0,0,0,89.3,3004
6323,40.0,0,1,105.95,3092
1959,5.0,0,0,34.25,961
402,69.0,0,0,99.45,4613
5515,18.0,1,2,19.35,2272
642,1.0,0,0,89.55,5251
206,72.0,2,2,55.45,2993
4225,8.0,1,0,20.25,901
4718,20.0,1,1,20.0,2982
2604,29.0,0,0,100.55,2112
1253,7.0,0,0,79.3,3673
1487,56.0,0,1,106.8,4051
4203,7.0,1,1,20.05,5395
1366,10.0,0,0,85.6,5065
4622,52.0,0,0,83.8,3091
131,25.0,2,0,58.6,799
6348,26.0,0,0,69.05,1184
2777,10.0,1,0,20.0,1221
4515,15.0,0,0,83.2,230
5593,31.0,2,1,75.5,1776
6865,8.0,2,2,65.5,3902
5230,58.0,0,2,94.35,3859
5610,3.0,0,0,75.5,1575
2115,71.0,2,2,118.65,5166
6815,72.0,2,2,69.85,3610
3107,72.0,2,2,113.65,5078
5100,1.0,0,0,75.3,4806
5838,53.0,2,0,71.85,2757
3071,47.0,2,2,90.5,3080
5485,1.0,2,0,50.75,3551
2008,4.0,0,0,87.1,2495
192,69.0,1,2,19.75,594
3109,56.0,1,2,25.95,722
4093,29.0,0,0,76.0,1597
1926,49.0,0,0,99.8,3454
2244,34.0,2,1,64.4,1486
6604,2.0,0,0,44.5,5269
3259,6.0,0,0,70.55,3090
895,30.0,2,0,94.3,1992
2518,24.0,0,0,99.65,1757
1829,8.0,0,0,74.85,3947
3432,70.0,2,2,94.8,4522
2945,9.0,2,0,75.6,4407
5152,55.0,1,2,25.65,616
5197,72.0,0,2,110.15,5006
6782,11.0,0,0,51.1,3721
2695,52.0,2,1,81.4,3104
6415,58.0,2,1,45.35,1882
39,11.0,0,0,97.85,180
1493,11.0,2,0,79.5,4990
1152,7.0,0,0,54.85,2691
2196,19.0,1,0,20.2,2754
5401,31.0,1,2,20.45,4302
5429,72.0,2,2,79.5,3914
929,30.0,0,1,86.45,1879
2475,53.0,2,2,99.5,3773
399,23.0,1,1,20.05,2972
3972,45.0,2,0,50.9,1668
2797,3.0,0,0,100.95,2415
636,31.0,0,2,99.45,2290
2758,5.0,1,0,20.25,161
5088,57.0,1,2,19.75,443
4733,12.0,2,0,84.6,5391
3385,12.0,0,0,96.05,252
3420,26.0,2,0,69.5,1170
2990,10.0,0,0,33.9,2182
624,7.0,1,0,20.0,583
1711,71.0,1,2,24.4,1075
4914,72.0,2,2,74.55,3778
254,10.0,1,0,19.85,1324
1744,41.0,2,1,104.45,2983
1384,22.0,0,0,69.25,869
6028,12.0,2,0,80.85,5213
1071,2.0,0,0,49.05,5289
867,5.0,1,0,20.5,69
4408,72.0,2,2,71.45,3569
390,27.0,0,0,95.6,1924
2231,10.0,0,0,70.0,4771
6668,38.0,0,0,103.65,2858
2584,58.0,2,0,65.25,2736
1454,29.0,1,0,20.65,4368
5546,4.0,2,0,42.4,744
6857,58.0,0,0,92.85,3717
1870,1.0,0,0,45.55,3205
1303,69.0,1,2,19.7,631
1043,32.0,0,0,69.75,1704
3402,4.0,0,0,88.95,2596
4390,22.0,2,0,57.95,442
4038,60.0,1,2,20.6,166
4996,47.0,2,2,74.05,2554
